,Name,HP
0,Bulbasaur,45
1,Ivysaur,60
2,Venusaur,80
3,VenusaurMega Venusaur,80
4,Charmander,39
5,Charmeleon,58
6,Charizard,78
7,CharizardMega Charizard X,78
8,CharizardMega Charizard Y,78
9,Squirtle,44
10,Wartortle,59
11,Blastoise,79
12,BlastoiseMega Blastoise,79
13,Caterpie,45
14,Metapod,50
15,Butterfree,60
16,Weedle,40
17,Kakuna,45
18,Beedrill,65
19,BeedrillMega Beedrill,65
20,Pidgey,40
21,Pidgeotto,63
22,Pidgeot,83
23,PidgeotMega Pidgeot,83
24,Rattata,30
25,Raticate,55
26,Spearow,40
27,Fearow,65
28,Ekans,35
29,Arbok,60
30,Pikachu,35
31,Raichu,60
32,Sandshrew,50
33,Sandslash,75
34,Nidoran (Female),55
35,Nidorina,70
36,Nidoqueen,90
37,Nidoran (Male),46
38,Nidorino,61
39,Nidoking,81
40,Clefairy,70
41,Clefable,95
42,Vulpix,38
43,Ninetales,73
44,Jigglypuff,115
45,Wigglytuff,140
46,Zubat,40
47,Golbat,75
48,Oddish,45
49,Gloom,60
50,Vileplume,75
51,Paras,35
52,Parasect,60
53,Venonat,60
54,Venomoth,70
55,Diglett,10
56,Dugtrio,35
57,Meowth,40
58,Persian,65
59,Psyduck,50
60,Golduck,80
61,Mankey,40
62,Primeape,65
63,Growlithe,55
64,Arcanine,90
65,Poliwag,40
66,Poliwhirl,65
67,Poliwrath,90
68,Abra,25
69,Kadabra,40
70,Alakazam,55
71,AlakazamMega Alakazam,55
72,Machop,70
73,Machoke,80
74,Machamp,90
75,Bellsprout,50
76,Weepinbell,65
77,Victreebel,80
78,Tentacool,40
79,Tentacruel,80
80,Geodude,40
81,Graveler,55
82,Golem,80
83,Ponyta,50
84,Rapidash,65
85,Slowpoke,90
86,Slowbro,95
87,SlowbroMega Slowbro,95
88,Magnemite,25
89,Magneton,50
90,Farfetch'd,52
91,Doduo,35
92,Dodrio,60
93,Seel,65
94,Dewgong,90
95,Grimer,80
96,Muk,105
97,Shellder,30
98,Cloyster,50
99,Gastly,30
100,Haunter,45
101,Gengar,60
102,GengarMega Gengar,60
103,Onix,35
104,Drowzee,60
105,Hypno,85
106,Krabby,30
107,Kingler,55
108,Voltorb,40
109,Electrode,60
110,Exeggcute,60
111,Exeggutor,95
112,Cubone,50
113,Marowak,60
114,Hitmonlee,50
115,Hitmonchan,50
116,Lickitung,90
117,Koffing,40
118,Weezing,65
119,Rhyhorn,80
120,Rhydon,105
121,Chansey,250
122,Tangela,65
123,Kangaskhan,105
124,KangaskhanMega Kangaskhan,105
125,Horsea,30
126,Seadra,55
127,Goldeen,45
128,Seaking,80
129,Staryu,30
130,Starmie,60
131,Mr. Mime,40
132,Scyther,70
133,Jynx,65
134,Electabuzz,65
135,Magmar,65
136,Pinsir,65
137,PinsirMega Pinsir,65
138,Tauros,75
139,Magikarp,20
140,Gyarados,95
141,GyaradosMega Gyarados,95
142,Lapras,130
143,Ditto,48
144,Eevee,55
145,Vaporeon,130
146,Jolteon,65
147,Flareon,65
148,Porygon,65
149,Omanyte,35
150,Omastar,70
151,Kabuto,30
152,Kabutops,60
153,Aerodactyl,80
154,AerodactylMega Aerodactyl,80
155,Snorlax,160
156,Articuno,90
157,Zapdos,90
158,Moltres,90
159,Dratini,41
160,Dragonair,61
161,Dragonite,91
162,Mewtwo,106
163,MewtwoMega Mewtwo X,106
164,MewtwoMega Mewtwo Y,106
165,Mew,100
166,Chikorita,45
167,Bayleef,60
168,Meganium,80
169,Cyndaquil,39
170,Quilava,58
171,Typhlosion,78
172,Totodile,50
173,Croconaw,65
